time_str,total_occupied_mean,total_occupied_std,total_occupied_min,total_occupied_max,utilization_percent_mean,utilization_percent_std,mc_occupied_mean,mc_occupied_std,car_occupied_mean,car_occupied_std,truck_occupied_mean,truck_occupied_std,is_full_mean
15:09,221.063,3.2005115644650086,210,230,95.6982683982684,1.3855028417597448,134.174,2.5534768932270087,77.357,1.851750517747999,9.532,0.6895298771274901,0.642
15:20,211.343,4.731991414060552,191,226,91.4904761904762,2.048481131627942,128.538,3.6323201606892788,73.728,2.683508378451096,9.077,0.943377422329452,0.401
15:30,201.655,5.474115539604629,181,220,87.29653679653678,2.3697469868418346,122.882,4.225864874074175,70.136,3.239444087802409,8.637,1.1209315266721187,0.242
15:39,191.934,6.142098124368362,174,214,83.08831168831169,2.6589169369560026,117.194,4.826765134296637,66.534,3.5619561383503235,8.206,1.2462411954020454,0.145
15:50,181.962,6.650924055406946,161,206,78.77142857142857,2.8791879027735696,111.276,5.205662582507911,62.903,3.87977365881615,7.783,1.3430244654192698,0.08
16:00,171.753,7.266828592845558,149,194,74.35194805194806,3.145813243656086,105.164,5.65394296673314,59.245,4.104853812844594,7.344,1.4204512246753436,0.052
16:10,160.967,7.484780085809664,140,185,69.68268398268398,3.2401645393115426,98.655,5.904476084957733,55.446,4.292028134286345,6.866,1.4663540480368964,0.03
16:19,149.944,7.652151293552646,123,176,64.91082251082251,3.312619607598548,91.892,6.177742346561609,51.644,4.448488850503403,6.408,1.5204761911479736,0.021
16:30,138.972,7.930202021645106,114,165,60.16103896103896,3.432987888158051,85.298,6.272841823650955,47.795,4.601972745807295,5.879,1.5578144259781994,0.01
16:40,128.055,7.989606298736426,103,155,55.435064935064936,3.458704025427023,78.696,6.19434854960181,43.974,4.738119223254492,5.385,1.6054134521525447,0.004
16:49,117.02,7.989206933571524,91,145,50.658008658008654,3.4585311400742564,72.067,6.252968144058513,40.088,4.700036845211575,4.865,1.6196908342021323,0.0
17:00,105.671,7.90222780007032,76,132,45.745021645021644,3.420877835528277,65.094,6.1286805043765105,36.145,4.727824798713179,4.432,1.6407522872353608,0.0
17:10,93.871,7.783761683527187,64,118,40.63679653679654,3.3695938023927194,57.838,6.013810931674018,32.09,4.615973050961975,3.943,1.572967013393867,0.0
17:19,81.712,7.403233338472046,55,105,35.37316017316018,3.2048629170874623,50.295,5.747260739344092,27.981,4.501655684734662,3.436,1.4980481127614522,0.0
17:30,69.464,7.1076876143527326,44,94,30.07099567099567,3.0769210451743434,42.644,5.52936143129004,23.901,4.244197475638028,2.919,1.4277525967328786,0.0
17:40,57.888,6.6909060839488905,34,77,25.05974025974026,2.896496140237614,35.591,5.13498657126648,19.871,3.921956239013987,2.426,1.352165800614833,0.0
17:49,46.491,6.131191606083642,22,66,20.125974025974024,2.654195500469109,28.635,4.829192074881273,15.91,3.5811624823127945,1.946,1.2659726247777583,0.0
18:00,34.822,5.652456657619436,18,52,15.074458874458875,2.4469509340343873,21.427,4.406368923170993,11.93,3.2307178053085255,1.465,1.1419628186062272,0.0
18:10,23.249,4.652595581570104,11,38,10.064502164502164,2.014110641372338,14.248,3.588784665506607,8.01,2.723107657679973,0.991,0.9756386989407867,0.0
18:19,11.559,3.4228986597962887,2,27,5.003896103896104,1.4817743116001245,7.096,2.5529005662777573,3.984,1.9767780987383612,0.479,0.6885005686512053,0.0
18:30,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18:40,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18:49,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
